model_id,model_slug,objective,condition,seed,target,target_idx,dataset_kind,train_per_class,test_per_class,steps,batch_size,geom_dim,concern_weight,final_loss,target_margin,target_margin_z,specificity_z,target_rank_percentile,target_centroid_margin_z,target_knn_purity_z,target_effective_rank_z,target_knn_purity,target_f1,accuracy
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,uniform,20260702,comp.graphics,0,20newsgroups,96,96,90,32,32,8.0,0.9666751623153687,0.273496748298931,-0.4510115371576719,-0.6013487162102293,0.5,-0.906715079047313,-1.4406506341912035,-0.37710339112618874,0.8411458333333334,0.9021739130434783,0.9270833333333334
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,uniform,20260702,rec.sport.hockey,1,20newsgroups,96,96,90,32,32,8.0,0.9666751623153687,0.512542361796124,1.3852364502243226,1.84698193363243,1.0,1.4971721471681023,1.0992642279847558,-1.4604236580976417,0.9622395833333334,0.9637305699481865,0.9270833333333334
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,uniform,20260702,sci.med,2,20newsgroups,96,96,90,32,32,8.0,0.9666751623153687,0.38191404880928054,0.38180462268311904,0.5090728302441587,0.75,0.32203296331179665,0.744222365530051,0.7832962472545043,0.9453125,0.962962962962963,0.9270833333333334
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,uniform,20260702,sci.space,3,20newsgroups,96,96,90,32,32,8.0,0.9666751623153687,0.16088736243140775,-1.3160295357497696,-1.7547060476663594,0.25,-0.912490031432587,-0.402835959323608,1.0542308019693243,0.890625,0.8811881188118813,0.9270833333333334
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,concern,20260702,comp.graphics,0,20newsgroups,96,96,90,32,32,8.0,0.9776372313499451,0.14824517756403283,-1.0941860227549904,-1.4589146970066542,0.25,-0.37247855859017787,-0.7431357362834198,-0.10265477077466548,0.87890625,0.900523560209424,0.9244791666666666
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,random_matched,20260702,comp.graphics,0,20newsgroups,96,96,90,32,32,8.0,0.676886796951294,0.32213611500816675,-0.20584960400737132,-0.2744661386764949,0.5,-0.8977178193268962,-1.4826880707129195,-0.1655262791435689,0.8385416666666666,0.907103825136612,0.9270833333333334
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,concern,20260702,rec.sport.hockey,1,20newsgroups,96,96,90,32,32,8.0,0.7638766169548035,0.28170604669173915,-0.33502219503094127,-0.4466962600412546,0.5,1.53622518767841,1.328530745732687,-1.6721724333949082,0.9765625,0.9306930693069307,0.9166666666666666
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,random_matched,20260702,rec.sport.hockey,1,20newsgroups,96,96,90,32,32,8.0,1.065926432609558,0.6109207934629843,1.440214118396211,1.920285491194948,1.0,1.6484575300365705,1.2794059793565473,-1.681483964402984,0.9596354166666666,0.9637305699481865,0.9270833333333334
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,concern,20260702,sci.med,2,20newsgroups,96,96,90,32,32,8.0,1.0032286643981934,0.2014781230415668,-0.7345775673736203,-0.9794367564981605,0.25,0.42839567164376585,1.0751564941417548,1.240256455585086,0.96875,0.9447236180904524,0.9322916666666666
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,random_matched,20260702,sci.med,2,20newsgroups,96,96,90,32,32,8.0,1.2037091255187988,0.3840445356726475,0.12445502131358788,0.16594002841811736,0.75,0.3342251053103198,0.5613152268870434,0.1563386518781825,0.93359375,0.9456521739130435,0.9192708333333334
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,concern,20260702,sci.space,3,20newsgroups,96,96,90,32,32,8.0,1.1397188901901245,0.07978855024345892,-1.4017352285609377,-1.8689803047479168,0.25,-0.41924324683196523,-0.16196588306855256,1.706484767623087,0.8997395833333334,0.8440366972477064,0.90625
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,random_matched,20260702,sci.space,3,20newsgroups,96,96,90,32,32,8.0,1.2437999248504639,0.15898097668394,-1.2818965991571973,-1.7091954655429298,0.25,-0.8999832798616059,-0.37011240736140205,1.147424420656099,0.8880208333333334,0.8792270531400965,0.9244791666666666
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,uniform,20260703,comp.graphics,0,20newsgroups,96,96,90,32,32,8.0,0.991786003112793,0.2050173374219096,-0.5887298497800204,-0.7849731330400276,0.5,-0.5683777929243262,-0.34627834052947065,0.4142975365205048,0.9010416666666666,0.9175257731958762,0.9270833333333334
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,uniform,20260703,rec.sport.hockey,1,20newsgroups,96,96,90,32,32,8.0,0.991786003112793,0.48372419139743944,1.6490398845318572,2.1987198460424757,1.0,1.717503446569832,1.680716823545485,1.3413499877297408,0.9791666666666666,0.9740932642487047,0.9270833333333334
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,uniform,20260703,sci.med,2,20newsgroups,96,96,90,32,32,8.0,0.991786003112793,0.26602216231260895,-0.09891501803071326,-0.13188669070761808,0.75,-0.39169177852924014,-0.3800615932640513,-1.3717814674669604,0.8997395833333334,0.9278350515463918,0.9270833333333334
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,uniform,20260703,sci.space,3,20newsgroups,96,96,90,32,32,8.0,0.991786003112793,0.1586031176423402,-0.9613950167211224,-1.2818600222948302,0.25,-0.7574338751162677,-0.9543768897519573,-0.38386605678328517,0.8776041666666666,0.8877005347593583,0.9270833333333334
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,concern,20260703,comp.graphics,0,20newsgroups,96,96,90,32,32,8.0,0.9351487159729004,0.06881233581220692,-1.0112404084665716,-1.3483205446220954,0.25,0.6607398677273421,0.161838568064697,0.2979688192457219,0.9205729166666666,0.9045226130653266,0.9140625
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,random_matched,20260703,comp.graphics,0,20newsgroups,96,96,90,32,32,8.0,1.4150763750076294,0.2380563223651317,-0.2908052285690714,-0.38774030475876153,0.75,-0.677371585647888,-0.11781113653360965,0.7614626653076574,0.90625,0.9081632653061226,0.9140625
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,concern,20260703,rec.sport.hockey,1,20newsgroups,96,96,90,32,32,8.0,1.1323399543762207,0.32217932380763076,1.4273056203060583,1.9030741604080774,1.0,1.7088328752074813,1.6577152488859397,1.525109363084236,0.9934895833333334,0.9696969696969697,0.9270833333333334
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,random_matched,20260703,rec.sport.hockey,1,20newsgroups,96,96,90,32,32,8.0,1.5347211360931396,0.48951921094650586,1.7244206557293242,2.2992275409724328,1.0,1.6151681141663763,1.5976552602377447,1.0572821409595943,0.9817708333333334,0.9844559585492227,0.921875
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,concern,20260703,sci.med,2,20newsgroups,96,96,90,32,32,8.0,0.9271962642669678,0.12073863551776053,-1.0029705077875766,-1.3372940103834354,0.25,0.41244300309378834,0.33370431358066255,-1.284719273807676,0.9322916666666666,0.9029126213592233,0.9114583333333334
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,random_matched,20260703,sci.med,2,20newsgroups,96,96,90,32,32,8.0,0.9176993370056152,0.25106157313913546,-0.21851692775608833,-0.29135590367478437,0.75,0.03889367891101666,-0.08563747692408348,-1.1848862159398188,0.9075520833333334,0.9191919191919192,0.921875
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,concern,20260703,sci.space,3,20newsgroups,96,96,90,32,32,8.0,1.123201847076416,0.08200620294878498,-1.0821645145793877,-1.4428860194391837,0.25,0.1079965768910147,-0.5755563066395785,0.7160185670785212,0.8841145833333334,0.8899999999999999,0.9244791666666666
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,random_matched,20260703,sci.space,3,20newsgroups,96,96,90,32,32,8.0,0.9966821670532227,0.18765767405369702,-0.7073142382427755,-0.9430856509903672,0.5,-0.8456480511548804,-0.9264110881659705,-0.441894861255527,0.8776041666666666,0.8756756756756756,0.921875
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,uniform,20260704,comp.graphics,0,20newsgroups,96,96,90,32,32,8.0,0.9730966091156006,0.18332508679417708,-0.5301402185294934,-0.7068536247059911,0.5,0.9172300625339668,0.605825938912997,-0.40903251875770075,0.9244791666666666,0.9326424870466321,0.90625
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,uniform,20260704,rec.sport.hockey,1,20newsgroups,96,96,90,32,32,8.0,0.9730966091156006,0.6251511321017444,1.6594788654565271,2.2126384872753695,1.0,1.0531940154974222,1.2873801201901212,0.5646698333332911,0.9479166666666666,0.9621621621621621,0.90625
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,uniform,20260704,sci.med,2,20newsgroups,96,96,90,32,32,8.0,0.9730966091156006,0.25799579439072534,-0.1600841566367981,-0.21344554218239734,0.75,-0.752633215639695,-0.6436900600950638,-1.4010209520491093,0.8815104166666666,0.8901734104046243,0.90625
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,uniform,20260704,sci.space,3,20newsgroups,96,96,90,32,32,8.0,0.9730966091156006,0.09471966517126255,-0.9692544902902359,-1.292339320386981,0.25,-1.217790862391693,-1.2495159990080609,1.2453836374735179,0.8606770833333334,0.8479262672811061,0.90625
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,concern,20260704,comp.graphics,0,20newsgroups,96,96,90,32,32,8.0,1.2143094539642334,0.050160924159895454,-0.9964803626932575,-1.32864048359101,0.25,1.1072977700954056,0.561832687438321,-0.7672983025007629,0.9192708333333334,0.9064039408866995,0.859375
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,random_matched,20260704,comp.graphics,0,20newsgroups,96,96,90,32,32,8.0,1.1924594640731812,0.12934566493293234,-0.81127554851872,-1.0817007313582931,0.5,0.7586242575898058,0.4995718668778293,-1.0743649672488136,0.9192708333333334,0.923076923076923,0.9010416666666666
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,concern,20260704,rec.sport.hockey,1,20newsgroups,96,96,90,32,32,8.0,1.1320724487304688,0.34573748883686334,1.501345122023838,2.001793496031785,1.0,1.2865327735076733,1.2547981758380076,0.3649412599707602,0.9583333333333334,0.968421052631579,0.9140625
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,random_matched,20260704,rec.sport.hockey,1,20newsgroups,96,96,90,32,32,8.0,1.1895694732666016,0.5539518637034618,1.6929312886189456,2.257241718158594,1.0,1.2762984260302368,1.223744271775127,1.5789919513443542,0.9505208333333334,0.9625668449197862,0.8984375
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,concern,20260704,sci.med,2,20newsgroups,96,96,90,32,32,8.0,0.7925178408622742,0.09370875889686439,-0.7645075837840914,-1.0193434450454553,0.25,-0.18299995048668405,0.2916469318040081,-1.7038663663063296,0.91796875,0.9197860962566845,0.9166666666666666
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,random_matched,20260704,sci.med,2,20newsgroups,96,96,90,32,32,8.0,0.9597857594490051,0.15897839151620924,-0.5512521507586486,-0.735002867678198,0.5,-0.38142859576671917,-0.14674181441344553,-1.4878721491533429,0.8958333333333334,0.9111111111111111,0.9114583333333334
sentence-transformers/all-MiniLM-L6-v2,sentence_transformers__all_MiniLM_L6_v2,classifier,concern,20260704,sci.space,3,20newsgroups,96,96,90,32,32,8.0,0.7598963379859924,0.03920657403000927,-1.449835957317191,-1.9331146097562548,0.25,-0.5038934503552573,-0.4936177500946842,1.7220178698747923,0.890625,0.8105726872246696,0.8802083333333334
