arch,condition,seed,reward_x,reward_y,final_loss,coverage,side,Ng,reward_z,wrong_z_mean,specificity_z,reward_rank_percentile,peak_error,top10_com_error,spatial_corr_reward_log_metric,area_reward_z,area_wrong_z_mean,area_specificity_z,area_reward_rank_percentile,area_peak_error,area_top10_com_error,area_spatial_corr_reward_log_metric,mean_area,mean_stretch
rnn,control,20260702,0.25,0.25,0.21954317390918732,1.0,16,256,0.3201284945901538,0.4675205215822406,-0.1473920269920868,0.5663265306122449,0.5622375931144334,0.39289820977012774,0.04365999514948337,0.31595475885839264,0.46818963579692907,-0.15223487693853643,0.5612244897959183,0.2838231060987733,0.4053516962967047,0.04282887403041407,16.202011206428637,4.025179048434896
rnn,control,20260702,0.25,0.5,0.21954317390918732,1.0,16,256,0.6088558907010401,0.4314295970683798,0.17742629363266027,0.7244897959183674,0.3218867985971328,0.1438413276274681,0.2343920242137841,0.6074928060488047,0.43174737989812756,0.17574542615067718,0.7244897959183674,0.03726779962499649,0.1555703952714232,0.23382368947444285,16.202011206428637,4.025179048434896
rnn,control,20260702,0.25,0.75,0.21954317390918732,1.0,16,256,0.9470145513634808,0.3891597644855747,0.557854786877906,0.8316326530612245,0.1269295517643985,0.10959768166660241,0.3407405680679692,0.9355525526257903,0.39073991157600435,0.544812641049786,0.8367346938775511,0.2173067468400883,0.09536402927308489,0.33673020897068173,16.202011206428637,4.025179048434896
rnn,control,20260702,0.5,0.25,0.21954317390918732,1.0,16,256,0.3181738795551439,0.4677648484616168,-0.1495909689064729,0.5663265306122449,0.6610177338350648,0.45449392943416045,0.08462865780317978,0.3216353450347949,0.46747956252487877,-0.14584421749008386,0.5612244897959183,0.36704525909242064,0.47070199410048574,0.08692884853675446,16.202011206428637,4.025179048434896
rnn,control,20260702,0.5,0.5,0.21954317390918732,1.0,16,256,0.4524175539757669,0.450984389159039,0.0014331648167278943,0.6428571428571429,0.4737556801183966,0.2699741768865402,0.19917284874055305,0.4557311892024219,0.4507175820039254,0.0050136071984964725,0.6530612244897959,0.23570226039551584,0.28539887428731153,0.20112824797371595,16.202011206428637,4.025179048434896
rnn,control,20260702,0.5,0.75,0.21954317390918732,1.0,16,256,0.41173823358261447,0.45606930420818304,-0.04433107062556857,0.6071428571428571,0.370060055186242,0.2533917529806884,0.19688965184914475,0.41339145539322203,0.4560100487300754,-0.04261859333685336,0.6122448979591837,0.3184162195757133,0.257574586554566,0.19648646786060683,16.202011206428637,4.025179048434896
rnn,control,20260702,0.75,0.25,0.21954317390918732,1.0,16,256,0.5126278935957785,0.4434580967065375,0.06916979688924102,0.6887755102040817,0.8263036837493695,0.6194840276749966,0.1490194371702409,0.5070019735071217,0.4443087339658379,0.06269323954128381,0.6785714285714286,0.5602578771323871,0.6354610427160201,0.1469063177538456,16.202011206428637,4.025179048434896
rnn,control,20260702,0.75,0.5,0.21954317390918732,1.0,16,256,0.3207417167512376,0.46744386881210515,-0.14670215206086756,0.5663265306122449,0.6857680203813662,0.5000817781498313,0.11045329157148902,0.32576549904181884,0.46696329327400077,-0.14119779423218193,0.5663265306122449,0.4844813951249544,0.5135200940606146,0.11265348793547317,16.202011206428637,4.025179048434896
rnn,control,20260702,0.75,0.75,0.21954317390918732,1.0,16,256,0.1685944531328624,0.486462276764402,-0.31786782363153965,0.5102040816326531,0.6186903731090195,0.49132790387943415,0.018213566400596543,0.17894626552145784,0.4853156974640459,-0.30636943194258803,0.5153061224489796,0.5296749527356901,0.49859305771171086,0.023033359773916906,16.202011206428637,4.025179048434896
rnn,reward,20260702,0.25,0.25,0.21548548340797424,1.0,16,256,1.7529326620120398,0.06595961835297141,1.6869730436590684,0.9336734693877551,0.07071067811865474,0.022105942998470844,0.731310663631096,1.7327229964106754,0.07280521065804352,1.659917785752632,0.9336734693877551,0.07071067811865474,0.021585926002624056,0.7219579070513279,15.67943629169778,3.9521654213737936
rnn,reward,20260702,0.25,0.5,0.22136946022510529,1.0,16,256,1.5379921792581348,0.27593421460003315,1.2620579646581016,0.9387755102040817,0.03726779962499649,0.026444911429759677,0.6836544169657317,1.528910263847746,0.2792946577194745,1.2496156061282715,0.9438775510204082,0.03726779962499649,0.02595678342275045,0.6799638911796545,15.876950913340648,3.9782271991993303
rnn,reward,20260702,0.25,0.75,0.21190635859966278,1.0,16,256,1.7241076764554841,0.08258423310264934,1.6415234433528347,0.923469387755102,0.1269295517643985,0.051449910149675065,0.7193726309883053,1.7167256389983319,0.09017023872654653,1.6265554002717852,0.923469387755102,0.07071067811865477,0.05054577534629005,0.7147174750277026,15.730762954952993,3.963818365169249
rnn,reward,20260702,0.5,0.25,0.20896784961223602,1.0,16,256,1.3807943051382245,0.2754264227913227,1.105367882346902,0.9030612244897959,0.03726779962499649,0.020597226308954195,0.6238108247549176,1.3729714747848882,0.2773789081749167,1.0955925666099715,0.9030612244897959,0.03726779962499649,0.020050552495773033,0.620590940293956,15.676856797527238,3.9527442127360057
rnn,reward,20260702,0.5,0.5,0.22774691879749298,1.0,16,256,1.3413319281400862,0.4815703464370812,0.859761581703005,0.923469387755102,0.10540925533894596,0.06428037037577138,0.609209041505126,1.3256862397876819,0.47985372078184685,0.845832519005835,0.923469387755102,0.10540925533894596,0.06430553944596291,0.6026319235470821,15.214892774032378,3.8933896601593903
rnn,reward,20260702,0.5,0.75,0.21743659675121307,1.0,16,256,1.568129221246793,0.3343839501901103,1.2337452710566827,0.9183673469387755,0.06009252125773319,0.024847704325051304,0.6934997809368779,1.556503196740732,0.33628540914746546,1.2202177875932665,0.9132653061224489,0.06009252125773319,0.025259176316292573,0.6891990719161237,15.38476312466561,3.9154960453794527
rnn,reward,20260702,0.75,0.25,0.21703486144542694,1.0,16,256,1.6946800956751145,0.07877925494875522,1.6159008407263593,0.923469387755102,0.07071067811865477,0.023047377260415364,0.7244270985621843,1.689734714193119,0.08488242925675726,1.6048522849363618,0.9285714285714286,0.07071067811865477,0.02322510470570341,0.7223932937977625,15.484600709371577,3.9299977942546658
rnn,reward,20260702,0.75,0.5,0.22231391072273254,1.0,16,256,1.5064215716988436,0.3128949358062046,1.193526635892639,0.9285714285714286,0.06009252125773319,0.018830081048976106,0.6639303297202105,1.498926184271383,0.31572721955580163,1.1831989647155814,0.9336734693877551,0.06009252125773319,0.018231047465903233,0.6613484209269037,15.332867888203994,3.909246155398328
rnn,reward,20260702,0.75,0.75,0.205392986536026,1.0,16,256,1.665295885869955,0.22492949926051303,1.4403663866094418,0.9438775510204082,0.05270462766947305,0.010777661030623574,0.7055850999499347,1.6369713308742118,0.23042913033768833,1.4065422005365233,0.9387755102040817,0.05270462766947305,0.010632433158858028,0.6935699828190341,15.237177750398043,3.894761647385282
transformer,control,20260702,0.25,0.25,0.15145738422870636,1.0,16,256,0.8735169132481648,-0.2296681446150044,1.1031850578631692,0.8010204081632653,0.1649915822768611,0.08192306542897539,0.33972506163989613,0.8828773777182723,-0.22051915563178642,1.1033965333500588,0.8112244897959183,0.1649915822768611,0.08091797083152147,0.34126419610669606,21.370636350803522,4.624905896560569
transformer,control,20260702,0.25,0.5,0.15145738422870636,1.0,16,256,-0.17930654195980472,-0.0980652127140082,-0.08124132924579652,0.42346938775510207,0.3847798793538399,0.2785989717379356,-0.048357043944308925,-0.16874132584997695,-0.08906681768575525,-0.0796745081642217,0.42346938775510207,0.3847798793538399,0.2732233159680744,-0.04375716717528155,21.370636350803522,4.624905896560569
transformer,control,20260702,0.25,0.75,0.15145738422870636,1.0,16,256,-0.41582351702173787,-0.06850059083126656,-0.34732292619047134,0.3826530612244898,0.6276056794587578,0.522994632341088,-0.2238786277189034,-0.41585009868141987,-0.058178221081824875,-0.357671877599595,0.3826530612244898,0.6276056794587578,0.5174497490323958,-0.22433751699530494,21.370636350803522,4.624905896560569
transformer,control,20260702,0.5,0.25,0.15145738422870636,1.0,16,256,0.26039284284336545,-0.15302763581440448,0.41342047865776993,0.6071428571428571,0.3847798793538399,0.17065069550275258,0.12813348423214582,0.27635979760834156,-0.14470445811804505,0.4210642557263866,0.6122448979591837,0.3847798793538399,0.17023106590299344,0.13537468962763197,21.370636350803522,4.624905896560569
transformer,control,20260702,0.5,0.5,0.15145738422870636,1.0,16,256,-0.6137083671259089,-0.04376498456824518,-0.5699433825576637,0.29591836734693877,0.5185449728701349,0.31627149457345666,-0.28098347059007667,-0.6014454020437024,-0.034978808161539546,-0.5664665938821629,0.3010204081632653,0.5185449728701349,0.31157964982259123,-0.27471953192288423,21.370636350803522,4.624905896560569
transformer,control,20260702,0.5,0.75,0.15145738422870636,1.0,16,256,-0.3006440039233985,-0.08289802996855897,-0.21774597395483955,0.3979591836734694,0.7174414416676962,0.5439978462125404,-0.18167377176352528,-0.29195038902185416,-0.07366568478927057,-0.2182847042325836,0.3979591836734694,0.7174414416676962,0.53868835198904,-0.17826538071450673,21.370636350803522,4.624905896560569
transformer,control,20260702,0.75,0.25,0.15145738422870636,1.0,16,256,-0.0229844493186228,-0.11760547429415594,0.09462102497553314,0.5204081632653061,0.6276056794587578,0.4201570314797387,-0.046667664766598366,-0.022648694632945096,-0.1073283965878842,0.08467970195493911,0.5255102040816326,0.6276056794587578,0.42001132555378506,-0.045940406287244655,21.370636350803522,4.624905896560569
transformer,control,20260702,0.75,0.5,0.15145738422870636,1.0,16,256,-0.629371834723742,-0.04180705111851604,-0.587564783605226,0.29591836734693877,0.7174414416676962,0.4974313314478904,-0.31550021872996725,-0.6184397255263808,-0.032854517726204735,-0.5855852078001761,0.2857142857142857,0.7174414416676962,0.4944823313107829,-0.3119362196462892,21.370636350803522,4.624905896560569
transformer,control,20260702,0.75,0.75,0.15145738422870636,1.0,16,256,0.06410071430981422,-0.12849111974771057,0.19259183405752478,0.5408163265306123,0.8720983634634086,0.6658407676841182,-0.0026075258733680236,0.07856259309364658,-0.11997980755370816,0.19854240064735473,0.5408163265306123,0.8720983634634086,0.6615255387085567,0.002123075858835712,21.370636350803522,4.624905896560569
transformer,reward,20260702,0.25,0.25,0.1539606899023056,1.0,16,256,2.0395780128202143,-0.31954857516160806,2.359126587981822,0.9336734693877551,0.07071067811865474,0.045642890412748924,0.8736826421008241,2.040823012744408,-0.3176108175791168,2.3584338303235244,0.9336734693877551,0.07071067811865474,0.04577352548791137,0.8742089050901075,20.60252110503166,4.536820952575712
