augment,arch,seed,weakness_translation,weakness_wrong_group,toroidal_score,betti_match_torus,betti1_estimate,h1_top1,h1_top2,h2_top,fourier_pr,id_accuracy,ood_accuracy,final_loss,coverage,ood_arena_1,ood_arena_1_25,ood_arena_1_5,ood_arena_2
full_translation,gru,20260628,0.7592323412018324,0.0,0.5636809537154227,True,2,1.831252910149947,1.8026965181674697,1.4311817736968786,3.228451978204134,0.955,0.95225,0.12520405650138855,1.0,0.9515,0.95075,0.9575,0.95225
full_translation,gru,20260728,0.7352402216232172,0.0,0.5950843799096722,True,2,1.8917349214058903,1.8688353574584113,1.473648496647016,3.234861610471925,0.9515,0.95575,0.1131756380200386,1.0,0.95,0.9605,0.96025,0.95575
full_translation,gru,20260828,0.46975364392760643,0.0,0.2183923392351258,False,3,1.7657406220246268,0.9320892129866465,0.9126626120913843,4.642912688975439,0.93675,0.9225,0.16921672224998474,1.0,0.936,0.9275,0.9275,0.9225
full_translation,gru,20260928,0.7977561107038411,0.0,0.3290783289388493,True,2,2.00113272785702,1.3139232630809519,1.022112044263487,2.8746898650380968,0.9565,0.95975,0.12403032183647156,1.0,0.95375,0.95275,0.9475,0.95975
full_translation,gru,20261028,0.8737058217447103,0.0,0.5275798896167744,True,2,1.9048192183971697,1.6698534495643265,1.4539434028185965,2.8979671407307634,0.959,0.9655,0.12816768884658813,1.0,0.9625,0.961,0.96025,0.9655
full_translation,gru,20261128,0.5964008361915086,0.0,0.384807429611733,True,2,1.5736918212008528,1.506414736985048,0.8314621607856714,5.454913777700285,0.9445,0.93775,0.14559999108314514,1.0,0.94375,0.93675,0.95575,0.93775
full_translation,gru,20261228,0.7678553477534044,0.0,0.44779524704100715,True,2,2.009721196307914,1.5537872784329694,1.1854343626311739,3.1169317156085357,0.9565,0.96025,0.1252947747707367,1.0,0.95225,0.963,0.95675,0.96025
full_translation,gru,20261328,0.3502583532860587,0.0,0.26404683765752923,False,3,1.8410936293703966,1.1291628184927527,0.6621365818213825,3.856937489890161,0.93275,0.9185,0.18352170288562775,1.0,0.93075,0.93975,0.932,0.9185
full_translation,gru,20261428,0.843096321963855,0.0,0.47840360608459376,True,2,1.7879462774647836,1.6061337373391111,1.173197938336647,3.0870932741907198,0.9515,0.96125,0.12496235221624374,1.0,0.954,0.9655,0.96425,0.96125
full_translation,gru,20261528,0.058576564144886274,0.0,0.4902914580573094,True,2,1.9588572724665723,1.792103699094994,1.2229939389369449,3.074883704941919,0.95675,0.96025,0.11602699011564255,1.0,0.95625,0.95775,0.956,0.96025
full_translation,gru,20261628,0.5565212873179681,0.0,0.26994540412373874,True,2,1.388468512742256,1.008209046666504,0.7090513278274226,5.950812623156138,0.93875,0.925,0.17348290979862213,1.0,0.93375,0.92875,0.92925,0.925
full_translation,gru,20261728,0.8094591831016816,0.0,0.4852851339809189,True,2,1.935751458117654,1.5663669486454102,1.181325627204004,3.0599068203100073,0.96075,0.96475,0.1254468411207199,1.0,0.9535,0.96275,0.95675,0.96475
full_translation,gru,20261828,0.6088929255485327,0.0,0.3601006735040632,True,2,1.6450735391830913,1.1312771443488505,0.8002680491282281,3.9963639523536876,0.9395,0.945,0.15346835553646088,1.0,0.94825,0.94575,0.94375,0.945
full_translation,gru,20261928,0.7002033796874296,0.0,0.0725528349804498,False,2,1.0984561959151438,1.0375841816828097,0.1570484321302401,4.028869361225695,0.92425,0.913,0.19031213223934174,1.0,0.9305,0.9315,0.92825,0.913
full_translation,gru,20262028,0.8344065336283049,0.0,0.5840946855057507,True,2,1.8633703446964374,1.794155785163346,1.527896259333631,3.1235483007613136,0.95975,0.96475,0.11211468279361725,1.0,0.95675,0.9625,0.96225,0.96475
full_translation,gru,20262128,0.7311683761977732,0.0,0.5912914477464946,True,2,1.9818156195809289,1.8277487544433204,1.3991582649934793,3.0153243608488975,0.959,0.95825,0.11816691607236862,1.0,0.95125,0.95775,0.95525,0.95825
full_translation,gru,20262228,0.7383293964469433,0.0,0.5037019035990635,True,2,2.0400108358672693,1.6592826609348938,1.4168846301953775,3.9708197947340547,0.9525,0.965,0.11864111572504044,1.0,0.95325,0.9595,0.95925,0.965
full_translation,gru,20262328,0.7758541727008001,0.0,0.02147373795982671,False,31,1.4252714528089192,0.42781230339829823,0.19867638673880927,4.542723028772993,0.92425,0.9285,0.19937513768672943,1.0,0.9275,0.92375,0.92525,0.9285
full_translation,gru,20262428,0.7653459076706685,0.0,0.542274878079353,True,2,2.0051394148329535,1.779203136584231,1.42536806732734,3.3017433740757283,0.962,0.961,0.12150765210390091,1.0,0.9575,0.954,0.9585,0.961
full_translation,gru,20262528,0.7740992515507896,0.0,0.5678793802510839,True,2,2.061360868365483,1.802168389455344,1.6031024507229454,3.2271618434983775,0.957,0.9635,0.12278953194618225,1.0,0.95675,0.96075,0.958,0.9635
full_translation,gru,20262628,0.44893242036685277,0.0,0.11904395054256639,False,4,1.5194049527793618,0.9498281164979392,0.2693527433775764,3.831754455393233,0.94675,0.9445,0.15986739099025726,1.0,0.9455,0.94725,0.94275,0.9445
full_translation,gru,20262728,0.5768665426289741,0.0,0.5832041466204325,True,2,2.0046293898443053,1.7765176523528532,1.5119795127587545,3.6486083109918144,0.95875,0.9625,0.12020956724882126,1.0,0.9585,0.953,0.96275,0.9625
full_translation,gru,20262828,0.7706031250706445,0.0,0.29168138492790907,True,2,1.9784918440619137,1.2673288740016195,0.6629469377247008,3.27535059488157,0.94175,0.945,0.16725298762321472,1.0,0.93775,0.94375,0.925,0.945
full_translation,gru,20262928,0.8207417317444928,0.0,0.6026265994327065,True,2,1.8895711974567546,1.8874811211770641,1.570855712211533,3.3928910884867243,0.954,0.95675,0.12319353222846985,1.0,0.962,0.95525,0.957,0.95675
full_translation,gru,20263028,0.8651007432808506,0.0,0.4903162811021393,True,2,1.8388928607536617,1.5759137056068302,1.2612985011401014,3.2403657135644672,0.9485,0.9495,0.13505671918392181,1.0,0.95025,0.9495,0.958,0.9495
full_translation,gru,20263128,0.6058651215677362,0.0,0.4664430584935826,True,2,2.106001548535911,1.7602256739173328,1.4033998989103216,3.1637198727531612,0.96025,0.96425,0.12104000896215439,1.0,0.955,0.9665,0.957,0.96425
full_translation,gru,20263228,0.4363396338030652,0.0,0.3935099010122816,True,2,1.6394751620967167,1.3313937417759825,1.0258798949712538,3.7682846752727683,0.95375,0.95125,0.13694198429584503,1.0,0.9515,0.948,0.95325,0.95125
full_translation,gru,20263328,0.5977271988217664,0.0,0.6022922067128832,True,2,1.9363574467855196,1.8877321119020403,1.560183744171818,3.477532813932838,0.9545,0.963,0.11929165571928024,1.0,0.95725,0.961,0.9585,0.963
full_translation,gru,20263428,0.7827200834179177,0.0,0.5483840477480904,True,2,1.8673668344767482,1.7482136091326503,1.4042810474115759,3.1187527057752815,0.9565,0.9565,0.12058446556329727,1.0,0.96225,0.95775,0.95975,0.9565
full_translation,gru,20263528,0.733191357059732,0.0,0.5212413943217519,True,2,1.8539386481076396,1.6426829009694417,1.3624503119425044,2.9904363696208174,0.9545,0.9585,0.12221934646368027,1.0,0.95475,0.9565,0.9625,0.9585
full_translation,gru,20263628,0.6827629460700965,0.0,0.6055715791444453,True,2,2.110564745445244,1.913456705048418,1.5222617692173717,3.4863975500587436,0.959,0.9635,0.12410157173871994,1.0,0.9625,0.963,0.963,0.9635
full_translation,gru,20263728,0.30199142621200425,0.0,0.3076253911397067,True,2,1.4123784141837437,1.1281600143562671,0.6187510125752647,3.7283519343069065,0.9285,0.925,0.17613257467746735,1.0,0.93525,0.9325,0.94575,0.925
full_translation,rnn,20260628,0.7114378697038851,0.0,0.39148335614251073,True,2,2.656402796401668,2.194879809211286,1.677507333598546,5.693698560019849,0.94775,0.953,0.1412036120891571,1.0,0.949,0.9475,0.95325,0.953
full_translation,rnn,20260728,0.8456460242871668,0.0,0.19338641733537928,False,3,2.633964986394563,1.7654201618058019,1.470239260508365,5.9669017572615255,0.94075,0.95125,0.1375861018896103,1.0,0.93975,0.95475,0.9475,0.95125
full_translation,rnn,20260828,0.870063629160581,0.0,0.2034670721163441,False,3,2.6249365134183007,1.584957131760584,1.0186633823751636,5.623136485734681,0.947,0.95525,0.12461356073617935,1.0,0.94525,0.9515,0.95025,0.95525
full_translation,rnn,20260928,0.8948861694396046,0.0,0.40273526920097824,True,2,2.4220542262097817,2.2674419701990405,1.9344061186566672,4.56308334817702,0.95525,0.96075,0.12908777594566345,1.0,0.95175,0.9515,0.947,0.96075
full_translation,rnn,20261028,0.8779001168226528,0.0,0.36715421490363526,True,2,2.4562068970872666,2.4114296421652286,1.3299981970359909,5.911454020485825,0.943,0.9515,0.14983582496643066,1.0,0.951,0.948,0.95475,0.9515
full_translation,rnn,20261128,0.9023229292669208,0.0,0.2781942264525821,True,2,2.360238714591061,1.9970354431946502,1.7201705442635262,4.845129080585782,0.94575,0.94925,0.12831313908100128,1.0,0.9505,0.9565,0.95175,0.94925
full_translation,rnn,20261228,0.9010962799036596,0.0,0.24981120929182196,False,3,2.6404565878243647,1.8022070067900153,1.1469337943500122,5.147271189654887,0.94,0.94825,0.13619275391101837,1.0,0.93225,0.9455,0.941,0.94825
full_translation,rnn,20261328,0.8857622245875797,0.0,0.32851707027030486,True,2,2.951562225397848,2.020525422964574,1.5158531964086799,4.925045232960225,0.95175,0.95375,0.12958642840385437,1.0,0.93925,0.9555,0.95175,0.95375
full_translation,rnn,20261428,0.9249059652454084,0.0,0.3802339114379324,True,2,2.4270004886506134,2.143924610632183,1.5507703666622366,4.807710353669972,0.94075,0.94875,0.13651607930660248,1.0,0.947,0.95975,0.95625,0.94875
full_translation,rnn,20261528,0.9260752142366245,0.0,0.43824373078410045,True,2,2.5309707690713634,2.302138636035224,1.51364072614984,6.062385664315534,0.944,0.94875,0.13975542783737183,1.0,0.93775,0.94825,0.9375,0.94875
full_translation,rnn,20261628,0.7893328678797018,0.0,0.3653550928571548,True,2,2.7776938395216546,2.018544532939199,1.528393387069622,7.200333986401839,0.9415,0.93825,0.1436080038547516,1.0,0.9415,0.93775,0.93625,0.93825
full_translation,rnn,20261728,0.906632170132437,0.0,0.37511588386171496,True,2,2.4136994165264527,2.042942506343376,1.3773235536619297,3.726486572158858,0.937,0.9425,0.15335556864738464,1.0,0.939,0.943,0.941,0.9425
